"","rowid","place_name","count","geo_address","scale","latitude","longitude"
"80",80,"Norway",3,"Oslo, Norway","country",59.9138688,10.7522454
"81",81,"Oregon",3,"Salem, Oregon, USA","state",44.9428975,-123.0350963
"82",82,"Pima-Maricopa",3,"Salt River Pima-Maricopa Indian Community","native_group",33.516711,-111.7673622
"83",83,"Sacramento",3,"Sacramento, California, USA","city",38.5815719,-121.4943996
"84",84,"Vienna",3,"Vienna, Austria","city",48.2081743,16.3738189
"85",85,"Alton",2,"Alton, Illinois, USA","city",38.8906038,-90.1842764
"86",86,"Argentina",2,"Buenos Aires, Argentina","country",-34.6036844,-58.3815591
"87",87,"Baltimore",2,"Baltimore, Maryland, USA","city",39.2903848,-76.6121893
"88",88,"Birmingham",2,"Birmingham, Alabama, USA","city",33.5185892,-86.8103567
"89",89,"Bridgeton",2,"Bridgeton, New Jersey, USA","city",39.427337,-75.2340768
"90",90,"Cairo",2,"Cairo, Illinois, USA","city",37.0053293,-89.1764608
"91",91,"Denmark",2,"Copenhagen, Denmark","country",55.6760968,12.5683371
"92",92,"Idaho",2,"Boise, Idaho, USA","state",43.6150186,-116.2023137
"93",93,"Inner Mongolia",2,"Inner Mongolia","geo_region",40.8173299,111.76522
"94",94,"Kwakiutl",2,"British Columbia, Canada","native_group",53.7266683,-127.6476206
"95",95,"Los Angeles",2,"Los Angeles, California, USA","city",34.0549076,-118.242643
"96",96,"Muscogee Nation",2,"Muscogee (Creek) Nation, Oklahoma, USA","native_group",35.0077519,-97.092877
"97",97,"Nashville",2,"Nashville, Tennessee, USA","city",36.1626638,-86.7816016
"98",98,"Nicaragua",2,"Managua, Nicaragua","country",12.1149926,-86.2361744
"99",99,"Patagonia",2,"Santa Cruz, Argentina, Patagonia","geo_region",-48.7736825,-69.1917167
"100",100,"Portugal",2,"Lisbon, Portugal","country",38.7222524,-9.1393366
"101",101,"Richmond",2,"Richmond, Kentucky, USA","city",37.7478572,-84.2946539
"102",102,"Switzerland",2,"Bern, Switzerland","country",46.9479739,7.4474468
"103",103,"Venice",2,"Venice, Italy","city",45.4408474,12.3155151
"104",104,"Vermont",2,"Montpelier, Vermont, USA","state",44.2600593,-72.5753869
"105",105,"Wisconsin",2,"Madison, Wisconsin, USA","state",43.0721661,-89.4007501
"106",106,"Zimbabwe",2,"Harare, Zimbabwe","country",-17.8216288,31.0492259
