"","article","word","wordbefore","wordafter"
"89","SLGD_1904_04_30_P2_001.txt","bui","administration","ae"
"90","SLGD_1904_04_30_P2_001.txt","ing","ae","urtil"
"91","SLGD_1904_04_30_P2_001.txt","urtil","ing","ncarly"
"92","SLGD_1904_04_30_P2_001.txt","ncarly","urtil","midnight"
"93","SLGD_1904_04_30_P2_001.txt","cipealy","keeping","touch"
"94","SLGD_1904_04_30_P2_001.txt","pemeincy","roadwork","nnfinished"
"95","SLGD_1904_04_30_P2_001.txt","nnfinished","pemeincy","thirtyfour"
"96","SLGD_1904_04_30_P2_001.txt","thirtyfour","nnfinished","miles"
"97","SLGD_1904_04_30_P2_001.txt","wirkas","army","teeuknoot"
"98","SLGD_1904_04_30_P2_001.txt","teeuknoot","wirkas","night"
"99","SLGD_1904_04_30_P2_001.txt","dayshundreds","labor","installed"
"100","SLGD_1904_04_30_P2_001.txt","ings","build","mg"
"101","SLGD_1904_04_30_P2_001.txt","mg","ings","evening"
"102","SLGD_1904_04_30_P2_001.txt","rere","morning","iy"
"103","SLGD_1904_04_30_P2_001.txt","iy","rere","laborers"
"104","SLGD_1904_04_30_P2_001.txt","twentyfive","buildings","teams"
"105","SLGD_1904_04_30_P2_001.txt","complétion","public","ceremonies"
"106","SLGD_1904_04_30_P2_001.txt","jerusalem","gates","fate"
"107","SLGD_1904_04_30_P2_001.txt","grovnae","fate","celebrated"
"108","SLGD_1904_04_30_P2_001.txt","oclock","afternoon","bythe"
"109","SLGD_1904_04_30_P2_001.txt","bythe","oclock","aa"
"110","SLGD_1904_04_30_P2_001.txt","arr","david","te"
"111","SLGD_1904_04_30_P2_001.txt","te","arr","ofthe"
"112","SLGD_1904_04_30_P2_001.txt","ofthe","te","american"
"113","SLGD_1904_04_30_P2_001.txt","turkish","american","flags"
"114","SLGD_1904_04_30_P2_001.txt","minarette","prayer","rev"
"115","SLGD_1904_04_30_P2_001.txt","dr","rev","lee"
"116","SLGD_1904_04_30_P2_001.txt","deviler","blessing","address"
"117","SLGD_1904_04_30_P2_001.txt","jerusalem","rape","natives"
"118","SLGD_1904_04_30_P2_001.txt","mme","conducted","von"
"119","SLGD_1904_04_30_P2_001.txt","finkelstein","von","mountford"
"120","SLGD_1904_04_30_P2_001.txt","mountford","finkelstein","rev"
"121","SLGD_1904_04_30_P2_001.txt","haddad","john","choir"
"122","SLGD_1904_04_30_P2_001.txt","fatihah","incense","confession"
"123","SLGD_1904_04_30_P2_001.txt","mohammedan","prayer","imam"
"124","SLGD_1904_04_30_P2_001.txt","jerusalem","native","blow"
"125","SLGD_1904_04_30_P2_001.txt","doy","ottoman","inhabitants"
"126","SLGD_1904_04_30_P2_001.txt","jerusalem","inhabitants","nm"
"127","SLGD_1904_04_30_P2_001.txt","nm","jerusalem","hee"
"128","SLGD_1904_04_30_P2_001.txt","hee","nm","conclude"
