word,confidence,bbox
Indian,96.35138702392578,"502,728,613,754"
school,93.11454010009766,"638,728,745,756"
ex-,92.9197006225586,"773,738,824,757"
hibit,95.1534652709961,"38,756,117,781"
will,91.93460845947266,"146,756,207,778"
be,94.6843032836914,"236,756,274,778"
complete,96.25230407714844,"302,756,455,782"
this,95.79441833496094,"484,758,548,780"
morning,67.51487731933594,"576,759,722,786"
with,95.92655944824219,"748,760,825,783"
the,96.39668273925781,"36,782,90,805"
arrival,96.39668273925781,"107,781,226,804"
of,96.27481842041016,"243,782,277,803"
thirty,96.1474380493164,"293,782,393,807"
Indian,96.67610931396484,"410,783,521,805"
boys,96.84230041503906,"538,784,616,810"
and,96.88163757324219,"632,785,694,807"
twelve,96.478729248046875,"713,788,824,811"
-phl,0,"33,803,132,865"
students,96.42927551269531,"150,807,297,831"
of,96.039642333984375,"322,808,357,832"
the,96.039642333984375,"381,809,434,832"
Haskell,96.51607513427734,"460,809,593,834"
institute,96.26944732666016,"619,811,766,836"
at,96.77428436279297,"790,816,824,836"
"awrence,",90.07799530029297,"66,841,217,863"
"Kan,",19.463035583496094,"248,835,340,861"
and,95.49958038330078,"372,837,435,862"
forty,96.23493194580078,"462,837,549,870"
girls,96.498260498046875,"576,838,654,867"
and,76.64398193359375,"681,840,742,866"
ten,76.64398193359375,"772,840,824,866"
boys,95.32459259033203,"36,865,115,893"
from,95.92276763916016,"136,864,220,889"
the,92.88494110107422,"242,865,295,888"
Chiloceo,60.42033386230469,"317,864,464,890"
agricultural,95.80241394042969,"486,868,694,894"
school,96.55489349365234,"716,869,823,895"
at,92.646331787109375,"36,895,72,916"
"Chilocco,",90.64421081542969,"89,892,244,919"
Okla.,96.689453125,"263,892,354,917"
Robbed,96.0412826538086,"163,940,311,973"
by,96.25840759277344,"331,940,381,980"
Thief,95.2945556640625,"404,942,511,973"
at,95.73497009277344,"533,944,573,974"
Fair.,95.73497009277344,"596,943,689,974"
While,95.73567962646484,"64,990,168,1014"
Thomas,93.2906494140625,"194,991,333,1015"
L.,89.806396484375,"361,991,395,1015"
Watson,96.04547882080078,"424,992,557,1018"
of,96.18621063232422,"584,993,618,1017"
50%,50.97562789916992,"644,994,696,1017"
South,96.37455749511719,"722,993,821,1018"
Main,96.378753662109375,"34,1018,120,1039"
street,73.41972351074219,"137,1018,235,1040"
was,94.940948486328125,"252,1023,320,1040"
at,95.10577392578125,"335,1020,370,1041"
the,96.3520736694336,"386,1019,440,1041"
World's,16.41094207763672,"458,1020,595,1042"
Fair,93.22248840332031,"612,1020,686,1042"
yester-,86.333343505859375,"703,1023,822,1044"
day,95.920928955078125,"35,1042,97,1068"
a.,86.74816131591797,"118,1049,138,1067"
thief,91.350738525390625,"160,1042,241,1067"
cut,95.72727966308594,"261,1044,315,1067"
a,96.22010803222656,"337,1049,357,1066"
slit,85.49658203125,"378,1045,432,1068"
in,96.62431335449219,"454,1045,486,1069"
his,95.99383544921875,"507,1046,555,1069"
back,96.50067138671875,"576,1046,659,1069"
trousers,96.19984436035156,"680,1048,822,1070"
pocket,95.38421630859375,"33,1070,146,1098"
and,95.38421630859375,"161,1071,224,1097"
stole,96.066986083984375,"241,1071,322,1096"
a,95.597869873046875,"339,1076,360,1096"
purse,95.597869873046875,"374,1076,470,1100"
containing,96.57441711425781,"486,1072,669,1101"
"$25,",77.02742004394531,"686,1072,746,1100"
Arrange,96.7564926147461,"31,1129,198,1165"
to,95.6976318359375,"214,1133,252,1159"
Entertain,95.6976318359375,"268,1131,461,1160"
Press,93.045135498046875,"475,1131,582,1160"
Humorists.,82.38276672363281,"597,1132,817,1163"
Mr.,95.37512969970703,"60,1172,118,1212"
see,34.40412902832031,"131,1172,184,1235"
verens,0,"188,1178,293,1202"
"Love,",96.22345733642578,"309,1177,401,1204"
secretary,96.13237762451172,"418,1179,582,1208"
of,96.3639907836914,"597,1179,632,1204"
the,93.12640380859375,"646,1178,700,1203"
Amer-,91.626220703125,"714,1178,824,1203"
ican,95.21158599853516,"34,1204,104,1231"
press,91.67134857177734,"137,1211,225,1235"
"humorists,",58.30180740356445,"256,1205,440,1232"
has,96.30204010009766,"475,1206,533,1231"
completed,93.0128173828125,"566,1207,742,1235"
ar-,90.250152587890625,"773,1212,822,1231"
rangements,92.44938659667969,"33,1237,237,1264"
for,96.186248779296875,"267,1235,318,1259"
the,93.283477783203125,"347,1234,401,1260"
entertainmert,68.85993957519531,"430,1236,678,1260"
of,96.40027618408203,"707,1236,741,1259"
the,96.83665466308594,"770,1235,824,1260"
funny,91.4176254272461,"32,1257,136,1296"
.men,85.58863067626953,"151,1268,230,1288"
during,95.3886947631836,"256,1262,372,1290"
their,66.551361083984375,"397,1262,480,1286"
convention,94.74498748779297,"506,1265,693,1288"
in,92.491851806640625,"720,1264,751,1288"
8t.,70.40031433105469,"778,1264,821,1288"
Louis,95.7563247680664,"34,1289,130,1316"
next,93.26325988769531,"153,1292,229,1313"
woek.,92.544525146484375,"253,1289,348,1314"
Robert,95.41590118408203,"384,1290,503,1315"
"J,",71.713226318359375,"526,1290,554,1315"
Burdettgp,44.30646514892578,"580,1291,700,1315"
was,96.12236785888672,"758,1296,824,1316"
the,96.52494812011719,"34,1317,87,1340"
first,95.64102935791016,"108,1316,178,1341"
to,95.64102935791016,"198,1322,229,1341"
