word,confidence,bbox
exhibit:,80.28532409667969,"230,1251,357,1274"
buildings,72.9118881225586,"376,1244,526,1287"
yesterday,52.495086669921875,"550,1256,775,1283"
-in:,35.058372497558594,"723,1244,778,1287"
a,52.3319206237793,"0,1281,39,1305"
"wild,",93.21622467041016,"57,1276,136,1300"
distrait,89.253936767578125,"159,1276,285,1304"
(1,89.84589385986328,"307,1279,331,1303"
belleve,89.29889678955078,"353,1280,470,1312"
that's,92.90724182128906,"492,1282,589,1306"
the,96.14171600341797,"612,1284,664,1307"
word,63.590187072753906,"685,1284,775,1306"
H,28.720619201660156,"183,1307,195,1334"
I,91.39594268798828,"401,1308,413,1330"
see,91.39594268798828,"434,1314,484,1332"
so,93.31120300292969,"505,1316,539,1332"
often,93.31120300292969,"559,1311,646,1334"
iin,79.74019622802734,"668,1312,698,1335"
the,94.518585205078125,"718,1312,775,1334"
-,7.422271728515625,"8,1345,10,1347"
"Another,",95.68998718261719,"67,1330,214,1361"
Victim,33.36516571044922,"230,1333,342,1357"
~,7.4309234619140625,"368,1326,382,1368"
Dally,82.18656158447266,"399,1336,490,1362"
Story,82.18656158447266,"504,1338,590,1364"
syndicate,96.058868408203125,"608,1340,774,1364"
stuff),90.57820892333984,"399,1362,488,1390"
sort,96.028717041015625,"509,1369,574,1390"
of,95.37696075439453,"592,1368,626,1390"
way.,35.19444274902344,"643,1373,721,1392"
-,35.19444274902344,"770,1376,772,1378"
i,73.999267578125,"12,1413,15,1415"
of,94.967803955078125,"152,1389,185,1412"
the,95.54231262207031,"207,1391,265,1414"
“Alf.,86.04554748535156,"432,1394,513,1417"
what's,77.42488861083984,"560,1396,674,1419"
the,96.5887222290039,"719,1397,771,1419"
‘,43.57440185546875,"7,1426,10,1430"
matter?:,74.9758529663086,"399,1424,546,1446"
You,60.82130813598633,"584,1424,648,1446"
 jlook,55.62977600097656,"699,1425,767,1448"
Séuvenir,0,"69,1445,219,1474"
Habit.,91.89952850341797,"241,1448,344,1471"
like,92.034088134765625,"398,1451,460,1473"
