word,confidence,bbox
LARGEST,96.58708190917969,"30,19,295,78"
FAIR,46.29806137084961,"327,18,451,76"
*,57.2444953918457,"609,16,633,45"
Charles,96.34635162353516,"29,247,163,276"
"Wittman,",96.28057861328125,"184,247,354,277"
Who,95.79618072509766,"375,247,460,276"
Has,92.53369140625,"481,247,549,275"
Vis-,88.75923919677734,"569,247,638,275"
ited,96.32312774658203,"52,292,119,320"
Al!,84.34477233886719,"144,291,196,319"
"Expositions,",96.6434097290039,"222,292,440,328"
Says,96.37696838378906,"463,292,544,328"
St.,96.03978729248047,"566,292,614,320"
Louis’s,91.19581604003906,"77,336,198,364"
Is,95.86454010009766,"218,336,249,364"
Most,95.86454010009766,"269,336,351,364"
Magnificent.,95.8507080078125,"372,336,589,372"
*,65.56962585449219,"28,451,36,464"
Charles,93.29918670654297,"50,452,155,473"
Wittmann,96.27717590332031,"174,453,316,473"
of,96.29023742675781,"337,453,364,472"
"Lucerne,",90.964813232421875,"383,453,502,477"
Switzer-,90.964813232421875,"522,453,636,474"
"land,",95.89509582519531,"26,484,93,507"
formerly,95.21427154541016,"120,485,239,508"
connected,95.21427154541016,"266,485,404,504"
with,96.6963882446289,"426,485,486,505"
Simmons,95.49226379394531,"510,485,637,505"
Bros.,95.65506744384766,"27,518,97,537"
of,95.77562713623047,"116,518,143,537"
"London,",96.14447784423828,"159,517,269,537"
"England,",96.2647476196289,"288,517,411,539"
manufacturers,96.33544921875,"430,518,637,537"
of,96.46134185791016,"27,550,54,570"
oceanic,0,"72,549,174,569"
telegraph,95.88899993896484,"194,549,323,573"
"cables,",95.96631622314453,"343,550,433,573"
and,96.23426055908203,"455,550,504,570"
recently,96.326324462890625,"523,549,637,573"
identified,95.59612274169922,"27,582,152,602"
with,96.82440185546875,"173,582,234,601"
the,96.96698760986328,"254,582,298,601"
German,96.19905853271484,"317,582,427,602"
Edison,93.22991180419922,"448,583,543,603"
Com-,91.6572036743164,"563,583,636,603"
puny,95.6026382446289,"27,619,94,638"
at,63.40137481689453,"114,618,140,635"
"Berlin,",96.00091552734375,"163,614,255,636"
"Germany,",95.9718017578125,"277,615,412,638"
is,65.13492584228516,"434,615,455,635"
now,96.8736343383789,"476,620,531,635"
in,95.35352325439453,"555,616,578,635"
St.,92.96257019042969,"600,615,635,635"
Louls,8.568275451660156,"27,646,103,667"
visiting,95.38660430908203,"131,646,234,669"
the,95.38660430908203,"264,647,307,666"
Fair,95.46601104736328,"337,647,396,667"
and,96.0210189819336,"423,647,472,666"
taking,95.399749755859375,"504,647,593,671"
a,96.460723876953125,"620,652,638,667"
week's,76.816497802734375,"28,679,119,699"
rest,95.80200958251953,"134,680,186,698"
in,96.23123931884766,"200,678,225,698"
a,96.55427551269531,"241,684,257,699"
trip,95.95433044433594,"273,680,324,701"
he,96.83360290527344,"339,679,369,698"
is,96.38197326660156,"385,680,406,699"
making,96.49150848388672,"421,679,525,703"
around,96.40770721435547,"539,679,636,699"
the,96.58158111572266,"26,711,69,731"
world.,94.60340118408203,"88,710,171,730"
