word,confidence,bbox
heuses,84.68917083740234,"12,34,126,61"
ané,81.19474029541016,"149,38,210,62"
guarantees,59.7425651550293,"234,40,408,67"
their,94.181793212890625,"433,41,514,64"
safety.,73.44454193115234,"537,42,650,69"
1,61.33707809448242,"812,44,820,67"
The,93.02967071533203,"42,70,109,97"
Samal-laut—which,21.60107421875,"128,73,447,99"
means,55.786865234375,"469,81,578,100"
sea,55.786865234375,"589,83,643,101"
gypsies,57.79008483886719,"655,80,778,106"
‘,73.11840057373047,"814,80,820,88"
—live,46.83317184448242,"16,106,106,132"
im,77.89910888671875,"133,108,165,132"
houses,94.9870834350586,"194,109,307,135"
over,96.515777587890625,"335,116,410,135"
the,96.600830078125,"439,112,493,136"
water,96.64826965332031,"521,115,618,138"
because,80.2051010131836,"647,114,779,138"
},69.12574768066406,"812,114,820,138"
they,95.44103240966797,"16,143,92,171"
are,96.66883850097656,"108,149,164,168"
in,95.20218658447266,"179,145,210,169"
their,89.66584777832031,"227,146,308,170"
element,96.1385498046875,"325,148,456,171"
on,95.895965576171875,"473,153,512,172"
the,96.15447235107422,"533,150,585,173"
"water,",93.18254852294922,"603,152,710,176"
be-,83.15509033203125,"729,152,779,174"
’,54.22218322753906,"814,151,820,160"
cause,93.99229431152344,"17,184,113,203"
they,96.519683837890625,"134,180,207,208"
glean,95.689056396484375,"232,181,322,210"
their,91.34554290771484,"346,184,427,208"
Mving,8.386833190917969,"448,184,544,212"
from,95.74849700927734,"568,186,647,210"
it,95.74849700927734,"673,188,695,210"
and,95.92658996582031,"720,188,780,211"
|,94.57530212402344,"815,186,820,209"
Principally,45.0014533996582,"19,215,202,247"
because,95.463470458984375,"224,219,357,245"
of,96.5440902709961,"380,222,415,246"
the,95.89322662353516,"437,222,490,246"
facilities,95.95865631103516,"517,223,661,248"
it,89.350128173828125,"688,225,709,248"
af-,90.826202392578125,"735,226,781,249"
|,86.80577087402344,"814,225,820,249"
SSS,8.93609619140625,"24,254,820,283"
