word,confidence,bbox
a:,0,"0,0,771,13"
A,10.008201599121094,"205,0,228,18"
i,5.358421325683594,"258,0,278,18"
I,13.134605407714844,"321,0,356,18"
ee,7.2942047119140625,"376,0,455,18"
a,5.099853515625,"459,0,477,18"
ee,20.162681579589844,"516,0,563,18"
ee,26.441261291503906,"580,0,608,18"
et,24.965560913085938,"624,0,666,18"
a,28.329971313476562,"678,0,695,18"
——,61.62700271606445,"255,339,367,367"
aa,37.73247528076172,"373,339,502,367"
Crown,96.37212371826172,"0,408,117,442"
of,96.16522216796875,"138,407,176,440"
2000,96.56983947753906,"190,405,297,440"
Participates,96.51850128173828,"314,405,555,448"
in,96.5789566040039,"572,409,612,444"
Indian,96.32003021240234,"630,410,759,446"
Territory,96.098602294921875,"82,460,264,500"
Day,96.68077087402344,"284,459,362,499"
at,96.8228988647461,"382,462,421,495"
the,96.55853271484375,"439,460,502,496"
World's,52.01925277709961,"520,462,674,499"
Fair.,93.14949798583984,"324,513,420,546"
Program,96.2999038696289,"0,771,163,812"
Includes,96.2999038696289,"183,768,350,808"
Music,96.30918884277344,"366,770,483,805"
by,96.90238952636719,"501,771,548,812"
an,96.2888412475586,"567,782,613,807"
Indian,96.55770111083984,"630,773,763,810"
Band,96.59143829345703,"55,824,155,858"
and,96.51139068603516,"172,823,242,858"
Address,96.91426086425781,"259,823,413,858"
by,95.85272216796875,"428,824,477,864"
Red,96.30583953857422,"492,825,570,859"
Men's,28.001754760742188,"585,826,700,861"
Leader.,96.254852294921875,"311,875,455,910"
Indian,94.7353515625,"30,950,131,971"
Territory,94.34869384765625,"166,948,323,974"
Day,96.22237396240234,"360,947,427,975"
program,96.32012939453125,"464,954,607,976"
at,65.152191162109375,"643,956,672,973"
the,65.152191162109375,"710,953,760,975"
World's,73.68817138671875,"0,987,128,1007"
Fair,96.27301025390625,"159,986,229,1008"
is,96.84790802001953,"258,987,282,1006"
being,95.91585540771484,"312,985,402,1011"
participated,96.17925262451172,"430,986,635,1013"
in,95.13545989990234,"665,995,693,1010"
by,90.95345306396484,"722,989,760,1014"
more,95.69486236572266,"0,1028,78,1044"
than,95.53580474853516,"107,1023,179,1045"
2000,93.957733154296875,"211,1023,265,1044"
persons,96.27342224121094,"293,1027,420,1044"
who,96.39539337158203,"448,1022,516,1044"
came,93.29527282714844,"544,1029,629,1046"
Satur-,91.7308349609375,"656,1024,761,1047"
lay,90.33988952636719,"8,1064,54,1086"
to,96.18426513671875,"92,1065,119,1081"
represent,94.35479736328125,"155,1061,309,1085"
their,96.347015380859375,"346,1059,426,1082"
territory,96.19035339355469,"460,1060,605,1088"
and,95.05170440673828,"639,1063,697,1086"
to,95.05170440673828,"731,1067,761,1085"
zee,76.41064453125,"0,1107,35,1117"
the,95.460418701171875,"78,1099,121,1120"
Fair.,96.48335266113281,"161,1099,237,1121"
Special,95.781585693359375,"26,1138,141,1159"
trains,96.07506561279297,"170,1138,267,1159"
from,95.1867446899414,"296,1138,373,1160"
"Tulsa,",93.73590087890625,"402,1138,506,1162"
South,93.297027587890625,"534,1137,631,1160"
McAl-,71.02271270751953,"661,1140,761,1163"
"sster,",0,"0,1178,84,1194"
Muskogee,95.93843078613281,"116,1173,282,1196"
and,95.98590087890625,"310,1173,370,1194"
Ardmore,96.35365295410156,"400,1173,549,1195"
have,95.952911376953125,"579,1174,658,1196"
been,95.782318115234375,"686,1175,760,1198"
‘om'ng,35.31549072265625,"8,1215,117,1235"
into,95.71839141845703,"146,1210,208,1231"
St.,94.546783447265625,"236,1210,276,1232"
Louis,18.036026000976562,"307,1209,399,1231"
all,96.09711456298828,"427,1209,467,1232"
"week,",96.16002655029297,"497,1209,590,1234"
bringing,96.02217102050781,"620,1211,761,1239"
in,65.483673095703125,"0,1253,34,1268"
average,94.89574432373047,"55,1252,186,1269"
crowd,96.18135833740234,"207,1246,306,1268"
of,96.27556610107422,"329,1245,362,1269"
over,96.26569366455078,"381,1252,453,1269"
2,54.803001403808594,"475,1246,517,1269"
persons,96.93986511230469,"536,1252,662,1274"
from,95.96173858642578,"684,1249,761,1272"
each,96.00433349609375,"0,1283,72,1303"
town.,96.17613220214844,"106,1287,193,1303"
The,96.324310302734375,"26,1318,87,1337"
Tulsa,93.53627014160156,"107,1318,195,1338"
band,96.32292175292969,"219,1319,296,1340"
came,96.2460708618164,"318,1324,403,1340"
with,96.15556335449219,"423,1319,498,1340"
the,96.27526092529297,"520,1319,570,1339"
delegation,96.469970703125,"590,1319,760,1345"
from,93.46728515625,"0,1353,75,1374"
that,95.63028717041016,"103,1352,168,1374"
city,96.112457275390625,"196,1353,256,1379"
and,95.75980377197266,"284,1354,342,1376"
wil,95.99283599853516,"370,1354,416,1377"
have,95.9581298828125,"443,1353,523,1376"
a,96.90961456298828,"548,1360,562,1376"
prominent,71.107177734375,"591,1355,761,1382"
part,95.81535339355469,"0,1394,63,1416"
in,95.350738525390625,"97,1397,121,1412"
the,96.5239028930664,"154,1394,204,1412"
day's,49.347591400146484,"233,1391,320,1418"
program.,95.06280517578125,"349,1397,500,1419"
The,93.24528503417969,"26,1428,87,1448"
exercises,93.81080627441406,"111,1429,262,1449"
began,96.45965576171875,"288,1429,385,1453"
at,96.63372802734375,"409,1431,441,1450"
11,95.15608215332031,"466,1429,489,1450"
o'clock,63.565399169921875,"515,1429,630,1451"
at,96.007415771484375,"655,1433,684,1451"
the,96.14965057373047,"712,1431,762,1451"
Indian,95.10822296142578,"0,1462,104,1482"
Territory,93.68939971923828,"132,1463,286,1486"
building,95.90879821777344,"314,1462,450,1487"
with,96.27970123291016,"477,1462,549,1483"
an,92.15924835205078,"574,1468,613,1483"
invoca-,92.15924835205078,"641,1463,760,1485"
"tion,",83.21202087402344,"0,1496,68,1517"
followed,95.822906494140625,"102,1496,239,1518"
by,96.48878479003906,"270,1497,306,1522"
an,96.8251724243164,"334,1503,372,1519"
address,95.44569396972656,"403,1496,530,1520"
of,95.90796661376953,"560,1498,592,1521"
welcome,96.20619201660156,"623,1499,761,1522"
by,95.56425476074219,"0,1532,27,1557"
President,94.47770690917969,"68,1533,220,1556"
Francis.,95.73014068603516,"255,1533,388,1556"
After,96.13816833496094,"27,1570,113,1590"
music,96.17852020263672,"139,1576,234,1592"
by,96.46736145019531,"258,1571,296,1596"
the,96.53389739990234,"321,1571,370,1591"
Indian,96.539031982421875,"397,1571,501,1593"
"band,",96.67854309082031,"530,1571,617,1594"
the,93.25524139404297,"644,1573,693,1595"
re-,93.04756164550781,"718,1579,761,1595"
ponse,91.56004333496094,"17,1611,106,1630"
on,96.57816314697266,"133,1611,168,1626"
behalf,96.33638000488281,"196,1605,301,1627"
of,96.1989974975586,"324,1606,356,1626"
Indian,86.3391342163086,"384,1606,488,1627"
Territory,96.15062713623047,"515,1606,672,1633"
was,96.60704040527344,"700,1614,761,1629"
delivered,96.332244873046875,"0,1641,146,1662"
by,96.5875015258789,"175,1641,210,1665"
Gen.,94.44300079345703,"236,1640,299,1662"
Pleasant,96.235931396484375,"339,1640,483,1663"
"Porter,",92.99922943115234,"512,1642,627,1667"
princi-,91.343780517578125,"654,1644,760,1671"
pal,95.1859359741211,"0,1677,44,1698"
chief,95.99251556396484,"74,1677,153,1699"
of,96.33270263671875,"180,1677,212,1699"
the,95.78709411621094,"240,1677,291,1699"
Creek,96.5362548828125,"321,1677,415,1699"
nation.,95.86713409423828,"448,1679,560,1700"
Then,92.94306945800781,"595,1679,677,1702"
fol-,91.40284729003906,"707,1680,761,1704"
icwed,87.85897064208984,"8,1713,99,1734"
a,40.062843322753906,"137,1720,150,1733"
stirring,82.104034423828125,"192,1712,319,1738"
address,96.29671478271484,"356,1712,484,1733"
by,96.46049499511719,"523,1714,560,1737"
Chas.,92.7301254272461,"599,1714,679,1736"
B.,90.10807037353516,"730,1716,758,1737"
Stuart,95.801239013671875,"0,1748,101,1768"
of,95.796173095703125,"135,1749,166,1768"
South,95.47760009765625,"197,1748,291,1769"
McAlester.,21.964859008789062,"326,1747,506,1768"
who,96.90101623535156,"541,1748,608,1769"
told,95.69659423828125,"639,1750,699,1772"
of,95.777740478515625,"731,1751,762,1771"
Indian,93.25701904296875,"1,1782,103,1803"
Verrvitory’s,24.551002502441406,"128,1782,309,1803"
