word,confidence,bbox
"began,",96.75269317626953,"24,51,153,92"
people,96.7192611694336,"173,43,305,90"
have,96.7436752319336,"321,43,420,79"
appeared,96.56193542480469,"437,49,629,89"
to,96.545989990234375,"648,53,688,85"
be,96.84033966064453,"707,51,753,84"
afraid,94.83866882324219,"766,49,896,85"
of,96.92626190185547,"22,106,64,139"
giving,96.42021942138672,"88,103,218,145"
offense,96.5371322631836,"241,100,391,133"
by,96.45436096191406,"415,100,467,141"
insisting,96.45436096191406,"490,102,670,145"
that,96.67388153076172,"693,103,780,139"
only,96.67388153076172,"805,105,897,147"
those,96.42835998535156,"20,161,125,195"
invited,95.92811584472656,"144,155,288,193"
be,96.8857421875,"304,155,351,191"
admitted.,95.69140625,"368,154,568,195"
The,96.94915008544922,"611,160,690,197"
"invasion,",96.4295883178711,"707,161,895,208"
"however,",96.22969818115234,"22,222,202,254"
has,96.14680480957031,"223,216,290,248"
now,96.14680480957031,"310,225,396,247"
grown,93.72955322265625,"416,226,544,255"
to,95.92835998535156,"566,222,607,250"
such,93.30341339111328,"626,221,717,252"
propor-,86.73490142822266,"737,230,894,262"
tions,95.96346282958984,"21,274,120,307"
that,96.43653106689453,"145,272,228,305"
many,96.43653106689453,"256,280,370,311"
say,96.90164947509766,"410,280,478,312"
the,96.395721435546875,"518,272,582,306"
"most,",30.62889862060547,"622,264,733,318"
drastic,30.62889862060547,"746,264,893,318"
measures,96.37461853027344,"21,340,206,365"
will,96.1351318359375,"229,327,305,361"
have,96.825225830078125,"329,327,426,363"
to,96.7480697631836,"450,332,490,364"
be,96.43029022216797,"515,330,560,363"
adopted,96.32921600341797,"583,331,751,375"
if,93.2415771484375,"774,333,808,367"
en-,92.533538818359375,"831,344,893,368"
tertainments,90.991180419921875,"19,387,281,420"
are,96.5225830078125,"297,394,362,417"
to,96.2136001586914,"380,387,420,417"
be,96.63182067871094,"438,385,485,418"
reserved,96.33663177490234,"502,392,681,422"
for,96.24662780761719,"701,392,764,423"
those,96.54907989501953,"783,390,893,424"
only,96.32319641113281,"18,443,104,485"
who,96.880767822265625,"126,443,208,476"
were,96.723541259765625,"229,452,326,476"
invited.,96.29847717285156,"347,438,506,476"
Two,96.29847717285156,"531,443,622,479"
foreign,93.28851318359375,"636,446,786,489"
gov-,93.11898040771484,"803,457,892,489"
ernments,92.32318878173828,"14,505,203,535"
have,96.623016357421875,"217,501,311,534"
already,95.657073974609375,"330,498,488,542"
led,96.4212417602539,"504,501,565,535"
the,96.45209503173828,"579,503,644,537"
"way,",93.29881286621094,"656,515,753,547"
refus-,92.73633575439453,"770,505,892,539"
fusing,96.4903335571289,"19,560,147,601"
to,96.77252197265625,"176,563,215,592"
admit,96.15745544433594,"242,556,363,592"
people,95.3876953125,"392,559,527,600"
no,95.3876953125,"556,570,606,594"
matter,96.184814453125,"634,566,776,596"
how,96.641754150390625,"806,564,891,596"
well,96.20946502685547,"20,617,97,649"
dressed,96.22749328613281,"129,615,280,648"
who,93.1538314819336,"308,615,392,647"
eould,92.13399505615234,"424,616,536,650"
not,96.98802947998047,"567,622,634,652"
exhibit,96.555206298828125,"664,619,813,655"
an,96.53836822509766,"840,630,890,654"
invitation,96.350616455078125,"18,674,216,707"
at,96.89337158203125,"251,676,290,705"
the,96.75567626953125,"325,672,389,704"
door.,93.23473358154297,"424,671,527,706"
‘‘You,92.17841339111328,"579,674,699,709"
are,83.93632507324219,"733,687,797,710"
re-,83.93632507324219,"837,687,888,709"
quested,95.2127456665039,"17,731,171,773"
to,96.212890625,"204,734,243,763"
bring,96.212890625,"275,728,389,771"
this,96.695526123046875,"420,728,498,763"
card,96.13367462158203,"530,733,619,767"
with,96.41898345947266,"653,733,746,768"
you’,0,"778,733,890,775"
"will,",93.18663787841797,"16,788,102,828"
it-is,91.84394073486328,"139,787,232,820"
"expeeted,",91.65128326416016,"267,786,463,827"
soon,95.2750244140625,"512,797,603,821"
appear,95.2750244140625,"651,799,797,832"
on,96.359588623046875,"838,801,888,824"
every,96.58287811279297,"17,855,129,886"
invitation,95.95059967041016,"164,843,365,877"
to,95.95059967041016,"407,847,445,876"
a,96.57130432128906,"482,854,503,877"
large,92.96586608886719,"539,844,645,884"
entertain-,90.67176055908203,"682,848,889,882"
ment.,95.78487396240234,"16,907,126,936"
The,93.2104263305664,"177,902,252,934"
Uninivited,92.70793914794922,"280,900,501,936"
Guest,96.63038635253906,"530,903,648,936"
was,91.18514251708984,"674,915,754,937"
prev-,91.83807373046875,"782,916,888,945"
iously,90.97982025146484,"19,959,134,997"
unknown.,96.3786849975586,"166,957,366,989"
‘iE,22.979270935058594,"122,1092,171,1116"
Uninvited,89.28984069824219,"205,1090,370,1116"
Guest,96.35118103027344,"406,1092,504,1117"
came,96.26432037353516,"538,1101,624,1120"
into,95.4940414428711,"655,1094,722,1121"
especial,95.4940414428711,"752,1095,885,1130"
World’s,87.55521392822266,"154,1135,282,1160"
Fair,96.84217834472656,"312,1135,383,1160"
prominence,96.65946960449219,"409,1136,605,1170"
«a,52.65227508544922,"631,1148,649,1166"
week,96.73657989501953,"678,1139,762,1166"
or,93.125823974609375,"790,1147,826,1165"
s0,55.233951568603516,"853,1147,886,1165"
ago.,93.29206848144531,"153,1190,218,1209"
At,94.43971252441406,"270,1182,308,1206"
one,93.301483154296875,"344,1188,402,1206"
World’s,92.06544494628906,"435,1180,568,1208"
Fair,96.91356658935547,"603,1182,673,1209"
“function”,95.79524993896484,"704,1183,887,1211"
there,96.79230499267578,"26,1232,109,1256"
was,95.10722351074219,"138,1236,198,1254"
2000,94.5033950805664,"226,1228,299,1253"
in,94.5033950805664,"324,1226,353,1253"
overwhelming,95.67581939697266,"383,1227,628,1264"
evidence.,79.31385040283203,"653,1230,807,1258"
It,79.31385040283203,"859,1231,888,1258"
was,96.4633560180664,"27,1284,84,1301"
at,96.4633560180664,"105,1280,136,1302"
the,96.511260986328125,"159,1275,210,1301"
luncheon,96.73542785644531,"230,1273,380,1300"
given,95.82205963134766,"400,1273,491,1305"
by,96.49497985839844,"510,1273,549,1308"
