word,confidence,bbox
WILL,93.14888763427734,"122,204,387,340"
EXCEED,91.2853012084961,"450,207,876,347"
"200,000,",90.4684066772461,"943,222,1398,357"
—,43.67170715332031,"1536,198,1537,200"
A,94.15433502197266,"512,266,579,343"
j,83.0889663696289,"1158,328,1175,376"
;,60.25223159790039,"1407,330,1424,381"
—,46.26014709472656,"407,617,603,628"
ee,45.79633331298828,"868,608,1154,646"
Great,96.47016143798828,"9,718,184,763"
"Throng,",96.33946228027344,"208,720,456,776"
Freed,96.2254638671875,"490,724,667,769"
by,96.67749786376953,"694,724,766,776"
Cessation,95.31465911865234,"807,724,1107,772"
of,96.4144287109375,"1152,730,1213,774"
"Business,",96.0723648071289,"1239,730,1534,785"
Welcomes,96.06340789794922,"122,792,448,842"
Head,96.84461212158203,"479,797,640,843"
of,96.193756103515625,"669,797,728,842"
"Exposition,",96.290924072265625,"754,796,1105,852"
Escorted,96.45365905761719,"1142,803,1417,851"
by,86.42308044433594,"1460,805,1536,860"
_,77.037384033203125,"1651,848,1656,853"
"Troops,",95.78730773925781,"122,864,363,920"
and,96.26520538330078,"388,872,499,915"
Follows,95.31878662109375,"540,869,778,916"
Procession,95.65550994873047,"826,871,1168,917"
From,93.28399658203125,"1218,874,1381,923"
Ad-,52.68443298339844,"1423,877,1537,926"
ministration,95.78981018066406,"124,942,500,990"
Building,96.03565216064453,"554,944,814,998"
to,96.10803985595703,"856,948,916,992"
Louisiana,93.27911376953125,"974,946,1280,996"
Monu-,83.861724853515625,"1330,950,1534,999"
"ment,",71.16817474365234,"121,1015,296,1072"
|,40.8035888671875,"1548,1092,1551,1094"
eS,0,"403,1118,773,1158"
.,27.054046630859375,"1529,1147,1535,1153"
PRESENTS,92.613525390625,"13,1221,522,1285"
SHOWERED,89.36993408203125,"558,1224,1123,1289"
ON,96.165069580078125,"1179,1229,1316,1292"
"HIM,\BY",0,"336,1323,680,1388"
COMMISSIONERS,95.49931335449219,"725,1324,1540,1395"
:,40.308868408203125,"778,1466,789,1490"
“,0,"1296,1466,1318,1476"
Messenger,95.69384002685547,"12,1541,352,1594"
Tries,96.13981628417969,"376,1540,536,1587"
to,95.67554473876953,"580,1545,639,1586"
Keep,93.13288879394531,"668,1542,823,1596"
Congratulatory,91.54170227050781,"859,1543,1342,1599"
Party,96.84881591796875,"1370,1545,1541,1601"
Away,96.70343017578125,"124,1614,297,1668"
From,95.95121765136719,"346,1615,509,1660"
Executive,96.389862060546875,"560,1617,862,1661"
Office,95.90684509277344,"904,1616,1090,1661"
by,96.55614471435547,"1135,1619,1206,1671"
Shouting,96.61531066894531,"1254,1618,1550,1675"
“‘No,41.54857635498047,"123,1687,248,1732"
Exhibits,93.26873779296875,"304,1688,555,1734"
Here;’’,90.33414459228516,"610,1684,820,1739"
Vast,96.42584991455078,"883,1687,1032,1734"
Crowd,96.42616271972656,"1085,1689,1288,1737"
About,96.38615417480469,"1354,1693,1548,1740"
Louisiana,95.90855407714844,"119,1762,422,1809"
Monument,95.77818298339844,"454,1764,796,1808"
Kept,95.64976501464844,"824,1761,970,1814"
Back,96.9409408569336,"1001,1763,1155,1808"
by,96.92694091796875,"1180,1764,1251,1816"
Soldiers.,95.90397644042969,"1271,1763,1541,1814"
