word,confidence,bbox
},46.01951599121094,"8,24,11,56"
AID,86.26924133300781,"104,27,175,49"
to,95.02679443359375,"200,32,230,49"
he,87.70623016357422,"256,28,293,49"
the,96.4511947631836,"317,27,367,48"
most,96.30943298339844,"391,27,470,48"
beautiful,90.113189697265625,"496,22,645,45"
woman,96.09368133544922,"670,24,790,41"
i,26.73065948486328,"8,76,10,88"
in,95.71043395996094,"132,77,158,94"
"Alabama,",75.178497314453125,"184,73,335,95"
Miss,93.081634521484375,"371,72,446,95"
Belle,93.28852081298828,"470,70,550,94"
Bauerlein,91.77976989746094,"573,66,730,92"
of,96.90752410888672,"758,64,791,88"
},27.847061157226562,"7,116,11,144"
Talladega,3.39471435546875,"130,120,299,148"
was,96.24285888671875,"331,126,396,143"
the,93.28031921386719,"427,120,478,141"
cynosure,87.670623779296875,"508,120,656,144"
of,96.47135162353516,"684,115,717,138"
all,94.020050048828125,"746,113,790,138"
|,77.4066162109375,"7,172,11,208"
eves,82.91212463378906,"32,172,99,189"
during,95.58133697509766,"124,168,235,194"
her,95.58133697509766,"261,169,314,191"
visit,94.2043685913086,"338,168,408,190"
to,95.77751922607422,"435,168,466,189"
the,96.288818359375,"490,165,541,188"
World's,50.83659362792969,"564,162,694,187"
Fair,96.27973175048828,"719,161,790,185"
|,78.57772064208984,"6,211,12,244"
thie,85.4991683959961,"28,209,88,227"
week.,92.62133026123047,"116,203,208,238"
;,53.60007858276367,"8,252,11,267"
Not,96.89496612548828,"56,242,114,265"
only,96.27996063232422,"145,244,217,270"
did,95.68108367919922,"246,244,295,266"
her,95.68108367919922,"326,244,381,266"
face,96.23668670654297,"411,244,479,266"
with,93.30158996582031,"506,241,578,264"
ftts,14.927780151367188,"607,240,647,262"
wealth,85.46311950683594,"675,238,787,261"
|of.,12.104629516601562,"8,280,58,301"
healthy,96.43598175048828,"85,280,213,306"
color,96.69835662841797,"240,280,324,303"
cause,95.59324645996094,"348,285,444,303"
those,95.59324645996094,"474,280,559,302"
who,96.310882568359375,"586,277,653,299"
passed,96.49409484863281,"678,275,788,302"
