word,confidence,bbox
RS,0,"0,0,381,18"
ec,18.530418395996094,"1408,0,1624,11"
GERMAN,95.23388671875,"1,30,613,137"
MEMBER,96.46114349365234,"689,25,1300,118"
|,94.30860137939453,"1609,46,1624,158"
Via,93.268218994140625,"54,438,99,459"
American,96.385650634765625,"126,436,260,458"
De,96.68787384033203,"286,433,323,454"
Forest,96.7867660522461,"347,431,440,451"
Wireless,95.99970245361328,"464,427,588,448"
Telegraph.,95.55853271484375,"611,428,763,453"
¢,75.76313018798828,"1604,406,1624,440"
POST,96.303558349609375,"81,473,178,497"
DISPATCH,95.69940948486328,"208,465,407,493"
WORLD'S,6.40576171875,"438,462,618,486"
FAIR,94.8609848022461,"646,463,744,486"
"BUREAU,",96.14057159423828,"772,464,957,488"
Aug.,77.823272705078125,"1000,464,1078,489"
6—Herr,65.569061279296875,"1124,462,1260,487"
Landstallmeister,89.50614929199219,"1288,464,1572,497"
Grabensee.,45.793800354003906,"23,512,205,533"
member,96.24742126464844,"229,505,362,529"
of,95.954193115234375,"382,502,416,524"
the,95.954193115234375,"438,501,490,523"
German,96.159423828125,"512,500,646,522"
jury,95.54359436035156,"669,501,740,527"
of,94.482574462890625,"763,501,796,523"
awards,96.36131286621094,"807,501,930,524"
for,96.4213638305664,"952,501,1002,523"
the,96.95844268798828,"1024,500,1076,523"
World's,10.687225341796875,"1099,500,1232,523"
"Fair,",96.50502014160156,"1256,501,1336,528"
has,96.81438446044922,"1361,504,1417,528"
arrived,0,"1439,510,1558,533"
in,96.22511291503906,"24,548,52,567"
the,94.03397369384766,"82,547,132,566"
United,95.93513488769531,"160,542,269,565"
States,96.11863708496094,"299,540,403,560"
and,96.045501708984375,"429,537,491,557"
is,96.428375244140625,"521,536,547,557"
expected,95.33263397216797,"575,538,723,561"
in,95.33263397216797,"749,538,779,557"
St.,91.44930267333984,"806,542,847,561"
Louis,96.28436279296875,"871,539,963,560"
soon.,96.42741394042969,"985,543,1067,559"
Herr,92.49311828613281,"81,581,160,603"
"Grabensee,",91.25150299072266,"182,576,365,600"
who,96.85774230957031,"391,572,458,594"
is,96.4092025756836,"482,571,507,592"
an,96.6044692993164,"531,576,570,592"
authority,96.59174346923828,"594,571,755,598"
On,92.37677764892578,"779,578,826,597"
"horses,",96.00526428222656,"851,575,967,598"
has,96.56281280517578,"994,574,1049,595"
been,95.68457794189453,"1073,573,1146,596"
chosen,95.68457794189453,"1170,574,1281,597"
to,93.30095672607422,"1306,578,1336,599"
serye,91.34747314453125,"1358,583,1444,604"
on,95.07183074951172,"1465,587,1502,606"
the,96.7129898071289,"1524,584,1575,608"
sary,65.69775390625,"0,620,93,646"
that,95.7035140991211,"117,617,185,639"
will,96.066650390625,"209,613,266,637"
make,96.7862777709961,"291,610,381,635"
the,96.316009521484375,"405,606,456,632"
equine,96.35047149658203,"477,607,587,635"
judgments.,96.59842681884766,"605,608,795,636"
In,96.18620300292969,"85,666,116,685"
Germany,96.18620300292969,"142,663,294,684"
he,96.3897933959961,"321,658,357,678"
is,96.23416900634766,"383,657,408,678"
in,95.45765686035156,"434,657,462,677"
charge,96.308441162109375,"487,656,602,680"
of,96.3045425415039,"626,657,659,677"
the,96.61968994140625,"683,657,734,678"
horses,96.34461212158203,"760,658,873,680"
of,95.93096923828125,"897,660,928,681"
a,96.03395080566406,"953,666,969,680"
large,95.996612548828125,"996,660,1081,684"
district.,95.89942169189453,"1105,659,1236,680"
Germany,96.5329818725586,"1279,661,1432,688"
will,92.9747085571289,"1459,666,1517,688"
be,96.29080963134766,"1540,669,1575,689"
represented,95.93836975097656,"29,697,222,725"
by,95.423309326171875,"249,695,286,717"
fifty,94.70594024658203,"317,694,386,717"
coach,52.46769714355469,"415,691,509,711"
horses,96.03131103515625,"540,691,647,712"
at,95.1095962524414,"673,695,706,712"
the,93.03131866455078,"735,693,785,713"
"T’air,",13.345977783203125,"811,694,889,716"
Fifteen,96.132568359375,"931,694,1050,715"
of,96.00099182128906,"1074,694,1107,715"
them,96.00099182128906,"1132,694,1213,715"
come,96.1802749633789,"1236,699,1320,716"
from,95.902374267578125,"1346,697,1423,719"
the,95.902374267578125,"1447,700,1496,721"
As-,87.98262023925781,"1520,704,1573,724"
sociation,96.67399597167969,"27,734,175,757"
of,96.27558898925781,"204,731,236,752"
Breeders,96.19123840332031,"268,728,416,751"
of,96.5394287109375,"445,727,478,748"
"Holstein,",96.10707092285156,"511,726,661,750"
fifteen,96.46642303466797,"693,727,798,750"
from,95.95549774169922,"823,731,900,752"
the,96.73573303222656,"922,730,973,752"
Association,96.7391128540039,"991,729,1187,751"
of,93.2896728515625,"1206,730,1239,752"
Oldenberg,90.55958557128906,"1257,731,1426,760"
and,96.56529235839844,"1445,737,1504,759"
the,95.142059326171875,"1526,740,1575,761"
remainder,96.12510681152344,"27,770,198,793"
from,95.6315689086914,"229,768,307,789"
the,96.534942626953125,"338,764,387,786"
Association,0,"416,763,612,785"
of,96.3284912109375,"640,764,672,785"
Breeders,96.14807891845703,"704,765,856,788"
of,95.29224395751953,"878,767,911,789"
Ostfriesland.,79.42372131347656,"932,766,1150,789"
It,74.568511962890625,"87,808,111,829"
is,96.2253646850586,"136,808,158,830"
understood,95.91141510009766,"186,802,371,827"
that,96.97953033447266,"399,804,465,822"
the,96.29882049560547,"493,801,544,822"
first,95.960540771484375,"569,802,632,823"
work,96.84613037109375,"659,802,743,824"
of,96.53193664550781,"768,803,800,825"
the,96.584259033203125,"825,805,876,827"
jury,95.90789794921875,"901,805,971,830"
on,94.5562515258789,"997,809,1033,825"
horses,96.2183837890625,"1062,804,1167,825"
will,96.672027587890625,"1192,805,1251,827"
be,96.78296661376953,"1280,806,1314,827"
done,96.34065246582031,"1340,808,1415,830"
Aug.,93.11910247802734,"1439,811,1514,838"
"%,",62.11531066894531,"1540,814,1574,838"
which,95.71915435791016,"30,845,126,867"
accounts,95.71915435791016,"153,842,299,864"
for,96.72981262207031,"327,839,374,861"
the,96.41014862060547,"401,838,451,859"
early,95.21635437011719,"478,838,562,863"
announcement,95.41010284423828,"590,844,840,864"
of,97.001617431640625,"861,842,894,864"
Herr,93.21343231201172,"915,842,993,863"
Grabensee’s,80.203033447265625,"1013,840,1216,864"
appointment.,89.627288818359375,"1235,844,1455,870"
The,96.92745208740234,"86,882,147,903"
German,96.4954833984375,"166,881,298,900"
horses,95.80240631103516,"322,876,427,898"
have,92.84391021728516,"449,874,527,896"
been,95.71854400634766,"551,875,623,897"
