word,confidence,bbox
Governor,96.3320083618164,"3,368,174,392"
Dockery,96.461639404296875,"201,363,345,398"
Issues,94.70024871826172,"372,363,481,390"
Proclamation,94.70024871826172,"507,361,750,390"
Calling,95.3245849609375,"773,361,903,395"
Upon,95.6385498046875,"928,361,1019,397"
the,95.65345764160156,"1044,363,1100,390"
People,94.63983154296875,"1126,362,1245,398"
of,96.89604187011719,"83,410,115,436"
the,96.75664520263672,"135,409,192,436"
State,96.77259826660156,"211,410,305,435"
to,96.1338882446289,"322,413,358,435"
See,95.62916564941406,"375,409,437,433"
That,96.30802154541016,"455,406,540,435"
October,95.58069610595703,"559,406,703,434"
"11,",89.3807144165039,"726,408,771,434"
Surpasses,95.50560760498047,"792,407,969,442"
All,96.02123260498047,"990,407,1045,434"
Others,96.05877685546875,"1067,407,1189,434"
as,96.36407470703125,"1208,414,1245,433"
to,92.4898452758789,"81,461,114,480"
Attendance—Programme,91.44395446777344,"135,452,602,487"
Partly,96.53202819824219,"627,451,740,486"
Completed.,96.47712707519531,"764,451,963,486"
