word,confidence,bbox
President,93.27840423583984,"33,18,164,40"
Rooseyelt’s,78.49540710449219,"178,17,336,38"
Day,96.90093994140625,"349,17,404,39"
at,96.75243377685547,"418,19,442,35"
the,91.068084716796875,"460,14,501,35"
Werd's,42.34927749633789,"515,11,622,34"
Fair,96.62171936035156,"14,59,75,81"
begins,96.42729187011719,"98,59,186,83"
this,95.8049087524414,"212,57,264,79"
morning,96.07757568359375,"290,56,407,79"
at,96.61486053466797,"432,58,459,75"
4,90.77766418457031,"488,56,496,74"
"o'clock,",63.717201232910156,"520,53,623,75"
although,96.16535949707031,"12,100,136,123"
he,96.2055892944336,"152,99,184,119"
will,95.44915771484375,"199,97,249,119"
not,96.15213775634766,"266,100,309,118"
arrive,96.15213775634766,"325,97,408,118"
“officially”,60.798397064208984,"426,95,575,118"
on,96.697021484375,"592,100,623,115"
the,96.60127258300781,"12,140,55,160"
grounds,96.27973937988281,"78,139,188,164"
until,91.86152648925781,"210,138,274,159"
five,94.85913848876953,"298,138,346,158"
hours,94.85913848876953,"368,137,445,157"
later.,92.90552520751953,"469,136,539,155"
His,95.88276672363281,"576,135,623,155"
special,96.42029571533203,"12,179,107,204"
train,96.1293716430664,"121,180,189,201"
will,95.66089630126953,"203,179,253,200"
be,96.28508758544922,"267,179,297,199"
switched,95.86509704589844,"311,178,433,199"
at,95.86509704589844,"448,181,475,197"
once,96.76617431640625,"489,181,552,196"
over,96.51690673828125,"565,180,624,195"
the,96.69435119628906,"12,223,56,244"
Wabash,96.44271087646484,"72,222,184,242"
tracks,96.16666412353516,"204,221,291,243"
to,96.16666412353516,"310,223,335,241"
the,96.60737609863281,"354,220,399,241"
siding,95.93488311767578,"414,219,497,252"
west,94.959442138671875,"514,220,577,238"
of,94.959442138671875,"596,218,622,237"
the,96.5401840209961,"13,264,56,284"
Transportation,96.3343505859375,"73,262,285,284"
building.,92.710662841796875,"304,261,424,282"
A,96.297088623046875,"33,304,54,324"
detail,95.81947326660156,"71,303,148,325"
of,96.1683120727539,"166,304,194,324"
United,95.840362548828125,"211,303,301,323"
States,96.563751220703125,"319,303,405,323"
troops,96.36273193359375,"422,304,508,324"
will,93.44671630859375,"525,301,573,321"
be,96.57256317138672,"591,301,620,319"
stationed,95.55492401123047,"10,344,137,366"
at,95.74678802490234,"155,347,182,364"
the,94.84674835205078,"202,343,245,364"
switch.,95.88996887207031,"265,343,362,363"
The,96.459808349609375,"395,342,447,362"
