word,confidence,bbox
portation,87.758941650390625,"8,15,158,47"
building,93.71128845214844,"176,15,312,40"
is,95.7461929321289,"327,16,352,37"
a,95.44763946533203,"368,21,385,37"
German,95.44763946533203,"401,15,532,37"
balloon,92.89219665527344,"548,11,666,34"
ex-,88.452056884765625,"682,13,733,30"
=,81.091644287109375,"773,0,804,15"
hibited,96.1658935546875,"8,42,120,65"
under,96.39341735839844,"137,44,231,65"
the,91.3169174194336,"248,43,298,65"
auspiqes,89.472503662109375,"313,42,452,72"
of,93.89723205566406,"468,41,500,62"
an,95.6099624633789,"516,45,554,61"
aero,88.84236145019531,"569,43,640,59"
elub.,79.54811096191406,"655,35,731,58"
Eleven,91.87004089355469,"10,69,121,92"
yvears,33.160240173339844,"151,75,241,95"
from,95.263671875,"269,70,347,92"
now,90.24067687988281,"376,74,442,91"
|let,78.06319427490234,"459,66,509,90"
us,95.25227355957031,"539,72,574,87"
imagine,95.25227355957031,"602,64,731,89"
one-fourth,95.707244873046875,"7,98,182,119"
of,96.09151458740234,"202,98,234,119"
the,95.76740264892578,"252,98,302,118"
space,94.7607421875,"319,103,410,121"
of,95.23515319824219,"428,94,461,118"
the,93.29255676269531,"477,95,527,117"
transporta-,90.85417938232422,"544,93,732,116"
tion,93.07372283935547,"10,126,69,146"
building,51.35271072387695,"91,125,226,150"
of,95.96427154541016,"246,125,278,145"
a,88.76080322265625,"299,131,314,146"
‘wotld’s,32.48358917236328,"339,123,459,146"
fair,96.73518371582031,"482,122,540,144"
filled,95.52726745605469,"562,120,638,143"
with,95.52726745605469,"661,118,732,140"
working,92.49808502197266,"10,152,147,178"
models,96.104888916015625,"169,152,282,175"
of,96.13751220703125,"304,153,336,173"
airships.,96.03199768066406,"358,151,499,176"
Their,93.16275787353516,"522,148,612,170"
devel-,92.43232727050781,"634,145,733,168"
opment,95.20027923583984,"10,181,128,205"
may,93.899200439453125,"156,185,225,205"
be,92.63603210449219,"251,180,286,200"
as,95.95198822021484,"310,185,344,201"
sudden,96.54852294921875,"369,178,482,200"
and,96.36376953125,"507,175,565,198"
rapid,94.95459747314453,"591,174,675,198"
as,96.4494857788086,"699,178,733,204"
that,96.01158142089844,"10,209,75,230"
of,95.32939147949219,"93,208,125,230"
