place_name,count,geo_address,latitude,longitude
Cuba,10,"Havana, Cuba",23.1135925,-82.3665956
Moqui,10,Hopi Reservation,35.875584,-110.6067762
Oklahoma,10,"Oklahoma City, Oklahoma, USA",35.4675602,-97.5164276
Sioux,10,Cheyenne River Reservation,45.0833144,-101.1251489
Berlin,9,"Berlin, Germany",52.5200066,13.404954
Latin America,9,Latin America,-4.4420385,-61.3268535
Virginia,9,"Richmond, Virginia, USA",37.5407246,-77.4360481
Africa,8,Africa,-8.783195,34.508523
Europe,8,Europe,54.5259614,15.2551187
New Jersey,8,"Trenton, New Jersey, USA",40.2205824,-74.759717
Sweden,8,"Stockholm, Sweden",59.3293235,18.0685808
Arkansas,7,"Little Rock, Arkansas, USA",34.7444618,-92.2880157
Jerusalem,7,"Jerusalem, Israel",31.768319,35.21371
Philadelphia,7,"Philadelphia, Pennsylvania, USA",39.9525839,-75.1652215
Utah,7,"Salt Lake City, Utah, USA",40.7607793,-111.8910474
Montana,6,"Helena, Montana, USA",46.5891452,-112.0391057
Pennsylvania,6,"Philadelphia, Pennsylvania, USA",39.9525839,-75.1652215
Cincinnati,5,"Cincinnati, Ohio, USA",39.1031182,-84.5120196
Iowa,5,"Des Moine, Iowa, USA",41.5868353,-93.6249593
Minneapolis,5,"Minneapolis, Minnesota, USA",44.977753,-93.2650108
Pittsburg,5,"Pittsburg, Pennsylvania, USA",40.4406248,-79.9958864
Rome,5,"Rome, Italy",41.9027835,12.4963655
Spain,5,"Madrid, Spain",40.4167754,-3.7037902
Springfield,5,"Springfield, Illinois, USA",39.7817213,-89.6501481
Arizona,4,"Phoenix, Arizona, USA",33.4483771,-112.0740373
Denver,4,"Denver, Colorado, USA",39.7392358,-104.990251
Georgia,4,"Atlanta, Georgia, USA",33.748752,-84.3876845
Louisville,4,"Louisville, Kentucky, USA",38.2526647,-85.7584557
Maine,4,"Augusta, Maine, USA",44.3106241,-69.7794897
Maryland,4,"Annapolis, Maryland, USA",38.9784453,-76.4921829
Nevada,4,"Carson City, Nevada, USA",39.1637984,-119.7674034
New Hampshire,4,"Concord, New Hampshire, USA",43.2081366,-71.5375718
Persia,4,"Tehran, Persia",35.7218583,51.3346954
Syria,4,"Damascus, Syria",33.5138073,36.2765279
Asia,3,Asia,34.047863,100.6196553
